ID	ALIGNMENT	COGID	TOKENS	CONCEPT	CONCEPTINSOURCE	SHELL	DOCULECT	FORM	VALUE	NOTE
1	h e gʷ i ( - - )	45	h e gʷ i	Tree	Tree	47	Proto-Pano-Takana	hegʷi	hegʷi	None
2	h i w i ( - - )	45	h i w i	Tree	Tree	47	Proto-Pano	hiwi	hiwi	None
3	- i - - ( - - )	45	i	Tree	Tree	47	Kakataibo	i	i	None
4	h i w i ( - - )	45	h i w i	Tree	Tree	47	ShipiboKonibo	hiwi	hiwi	None
5	h i w i ( - - )	45	h i w i	Tree	Tree	47	Kapanawa	hiwi	hiwi	None
6	- i w i ( - - )	45	i w i	Tree	Tree	47	Marubo	iwi	iwi	None
7	h i w i ( - - )	45	h i w i	Tree	Tree	47	Chacobo	hiwi	hiwi	None
8	h i w i ( - - )	45	h i w i	Tree	Tree	47	Kaxarari	hiwi	hiwi	None
9	- i ɸ i ( - - )	45	i ɸ i	Tree	Tree	47	Yaminawa	iɸi	iɸi	None
10	- i ɸ i ( - - )	45	i ɸ i	Tree	Tree	47	Sharanawa	iɸi	iɸi	None
11	( - - ) ʂ ɨ ( - - - )	44	ʂ ɨ	Tooth	Tooth	96	Proto-Pano-Takana	ʂɨ-	ʂɨ-	None
12	( - - ) ʂ ɨ ( - - - )	44	ʂ ɨ	Tooth	Tooth	96	Proto-Pano	ʂɨ-	ʂɨ-	None
13	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Kakataibo	ʂɨta	ʂɨta	None
14	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	ShipiboKonibo	ʂɨta	ʂɨta	None
15	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Kapanawa	ʂɨta	ʂɨta	None
16	( - - ) ʃ ɨ ( - t a )	44	ʃ ɨ t a	Tooth	Tooth	96	Marubo	ʃɨta	ʃɨta	None
17	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Chacobo	ʂɨta	ʂɨta	None
18	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Kaxarari	ʂɨta	ʂɨta	None
19	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Sharanawa	ʂɨta	ʂɨta	None
20	( - - - ) b ɨ t a ( - - - - )	46	b ɨ t a	Two	Two	24	Proto-Pano-Takana	bɨta	bɨta	None
21	( r a + ) β ɨ t a ( - - - - )	46	r a + β ɨ t a	Two	Two	24	Proto-Pano	ra-βɨta	ra-βɨta	None
22	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	Kakataibo	raβɨ	raβɨ	None
23	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	ShipiboKonibo	raβɨ	raβɨ	None
24	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	Kapanawa	raβɨ	raβɨ	None
25	( r a - ) β ɨ - - ( β a k ĩ )	46	r a β ɨ β a k ĩ	Two	Two	24	Marubo	ravɨvakĩ	ravɨvakĩ	None
26	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	Chacobo	raβɨ	raβɨ	None
27	( tʃ a - ) b ɨ t a ( - - - - )	46	tʃ a b ɨ t a	Two	Two	24	Kaxarari	tʃabɨta	tʃabɨta	None
28	( r a - ) ɸ ɨ - - ( - - - - )	46	r a ɸ ɨ	Two	Two	24	Yaminawa	raɸɨ	raɸɨ	None
29	( r a - ) ɸ ɨ - - ( - - - - )	46	r a ɸ ɨ	Two	Two	24	Chaninawa	raɸɨ	raɸɨ	None
30	( r a - ) ɸ ɨ - - ( - - - - )	46	r a ɸ ɨ	Two	Two	24	Sharanawa	raɸɨ	raɸɨ	None
31	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Proto-Pano-Takana	takʷa	takʷa	None
32	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Proto-Pano	takʷa	takʷa	None
33	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Kakataibo	takʷa	takʷa	None
34	( - - ) t a k a	33	t a k a	Liver	Liver	104	ShipiboKonibo	taka	taka	None
35	( - - ) t a k a	33	t a k a	Liver	Liver	104	Kapanawa	taka	taka	None
36	( - - ) t a k a	33	t a k a	Liver	Liver	104	Marubo	taka	taka	None
37	( - - ) t a k a	33	t a k a	Liver	Liver	104	Chacobo	taka	taka	None
38	( - - ) t a k a	33	t a k a	Liver	Liver	104	Kaxarari	taka	taka	None
39	( - - ) t a k a	33	t a k a	Liver	Liver	104	Chaninawa	taka	taka	None
40	( - - ) t a k a	33	t a k a	Liver	Liver	104	Sharanawa	taka	taka	None
41	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Proto-Pano-Takana	pɨʔi	pɨʔi	None
42	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Proto-Pano	pɨʔi	pɨʔi	None
43	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Kakataibo	pɨi	pɨi	None
44	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	ShipiboKonibo	pɨi	pɨi	None
45	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Kapanawa	pɨʔi	pɨʔi	None
46	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Marubo	pɨi	pɨi	None
47	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Chacobo	pɨʔi	pɨʔi	None
48	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Kaxarari	pɨʔi	pɨʔi	None
49	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Yaminawa	pɨi	pɨi	None
50	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Chaninawa	pɨi	pɨi	None
51	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Sharanawa	pɨi	pɨi	None
52	( - - - ) ʂ a ( - ) u	5	ʂ a u	Bone	Bone	93	Proto-Pano-Takana	ʂau	ʂau	None
53	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Proto-Pano	ʂao	ʂao	None
54	( - - - ) ʂ !ɔː/ɔ ( - ) -	5	ʂ !ɔː/ɔ	Bone	Bone	93	Kakataibo	ʂɔː	ʂɔː	None
55	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	ShipiboKonibo	ʂao	ʂao	None
56	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Kapanawa	ʂao	ʂao	None
57	( - - - ) ʃ a ( - ) u	5	ʃ a u	Bone	Bone	93	Marubo	ʃau	ʃau	None
58	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Chacobo	ʂao	ʂao	None
59	( - - - ) ʂ a ( hʷ ) u	5	ʂ a hʷ u	Bone	Bone	93	Kaxarari	ʂahʷu	ʂahʷu	None
60	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Yaminawa	ʂao	ʂao	None
61	( - - - ) ʃ a ( - ) o	5	ʃ a o	Bone	Bone	93	Chaninawa	ʃao	ʃao,ʂao	None
62	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Sharanawa	ʂao	ʂao	None
63	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Proto-Pano-Takana	hana	hana	None
64	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Proto-Pano	hana	hana	None
65	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Kakataibo	ana	ana	None
66	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	ShipiboKonibo	hana	hana	None
67	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Kapanawa	hana	hana	None
68	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Marubo	ana	ana	None
69	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Chacobo	hana	hana	None
70	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Kaxarari	hana	hana	None
71	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Yaminawa	ana	ana	None
72	( - - - ) - a d ( - ) a	43	a d a	Tongue	Tongue	46	Chaninawa	ada	ada	None
73	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Sharanawa	ana	ana	None
74	( - - ) m ɨ ( - - - - - - )	27	m ɨ	Hand	Hand	70	Proto-Pano-Takana	mɨ-	mɨ-	None
75	( - - ) m ɨ ( - - - - - - )	27	m ɨ	Hand	Hand	70	Proto-Pano	mɨ-	mɨ-	None
76	( - - ) m ɨ ( k ɨ ∼ - - - )	27	m ɨ k ɨ ∼	Hand	Hand	70	Kakataibo	mɨkɨ̃	mɨkɨ̃	None
77	( - - ) m ɨ ( k ɨ ∼ - - - )	27	m ɨ k ɨ ∼	Hand	Hand	70	ShipiboKonibo	mɨkɨ̃	mɨkɨ̃	None
78	( - - ) m ɨ ( k ɨ n - - - )	27	m ɨ k ɨ n	Hand	Hand	70	Kapanawa	mɨkɨn	mɨkɨn	None
79	( - - ) m ɨ ( k ɨ n - ɨ - )	27	m ɨ k ɨ n ɨ	Hand	Hand	70	Chacobo	mɨkɨnɨ	mɨkɨnɨ	None
80	( - - ) m ɨ ( k ɨ l - ɨ - )	27	m ɨ k ɨ l ɨ	Hand	Hand	70	Kaxarari	mɨkɨlɨ	mɨkɨlɨ	None
81	( - - ) m ɨ ( k ɨ ∼ - - - )	27	m ɨ k ɨ ∼	Hand	Hand	70	Yaminawa	mɨkɨ̃	mɨkɨ̃	None
82	( - - ) m ɨ ( k ɨ - - - - )	27	m ɨ k ɨ	Hand	Hand	70	Chaninawa	mɨkɨ	mɨkɨ	None
83	( - - ) m ɨ ( k ɨ - - - - )	27	m ɨ k ɨ	Hand	Hand	70	Sharanawa	mɨkɨ	mɨkɨ	None
84	( - - - ) m ɨ t a ( - - - - - )	37	m ɨ t a	Night	Night	71	Proto-Pano-Takana	mɨta	mɨta	None
85	( - j a ) m ɨ t !V/a ( - - - - - )	37	j a m ɨ t !V/a	Night	Night	71	Proto-Pano	yamɨtV	yamɨtV	None
86	( - - i ) m ɨ - - ( - - - - - )	37	i m ɨ	Night	Night	71	Kakataibo	imɨ	imɨ	None
87	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	ShipiboKonibo	yamɨ	yamɨ	None
88	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Kapanawa	yamɨ	yamɨ	None
89	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Marubo	yamɨ	yamɨ	None
90	( - j a ) m ɨ t a ( - - - - - )	37	j a m ɨ t a	Night	Night	71	Kaxarari	yamɨta	yamɨta	None
91	( - j a ) m ɨ - a ( - - - - - )	37	j a m ɨ a	Night	Night	71	Yaminawa	yamɨa	yamɨa	None
92	( - j a ) b ɨ - - ( - - - - - )	37	j a b ɨ	Night	Night	71	Chaninawa	yabɨ	yabɨ	None
93	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Sharanawa	yamɨ	yamɨ	None
94	( - - ) b i ts i	39	b i ts i	Skin	Skin	22	Proto-Pano-Takana	bitsi	bitsi	None
95	( - - ) β i ts i	39	β i ts i	Skin	Skin	22	Proto-Pano	βitsi	βitsi	None
96	( - - ) β i tʃ i	39	β i tʃ i	Skin	Skin	22	Kakataibo	βitʃi	βitʃi	None
97	( - - ) β i tʃ i	39	β i tʃ i	Skin	Skin	22	ShipiboKonibo	βitʃi	βitʃi	None
98	( - - ) β i tʃ i	39	β i tʃ i	Skin	Skin	22	Kapanawa	βitʃi	βitʃi	None
99	( - - ) β i tʃ i	39	β i tʃ i	Skin	Skin	22	Marubo	vitʃi	vitʃi	None
100	( - - ) β i tʃ i	39	β i tʃ i	Skin	Skin	22	Chacobo	βitʃi	βitʃi	None
101	( - - ) b i tʃ i	39	b i tʃ i	Skin	Skin	22	Kaxarari	bitʃi	bitʃi	None
102	( - - ) ɸ i tʃ i	39	ɸ i tʃ i	Skin	Skin	22	Chaninawa	ɸitʃi	ɸitʃi	None
103	( - - ) ɸ i tʃ i	39	ɸ i tʃ i	Skin	Skin	22	Sharanawa	ɸitʃi	ɸitʃi	None
104	( - - ) ts i ʔ i ( - - - )	22	ts i ʔ i	Fire	Fire	None	Proto-Pano-Takana	tsiʔi	tsiʔi	None
105	( - - ) ts i ʔ i ( - - - )	22	ts i ʔ i	Fire	Fire	None	Proto-Pano	tsiʔi	tsiʔi	None
106	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	Kakataibo	tʃii	tʃii	None
107	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	ShipiboKonibo	tʃii	tʃii	None
108	( - - ) tʃ i ʔ i ( - - - )	22	tʃ i ʔ i	Fire	Fire	None	Kapanawa	tʃiʔi	tʃiʔi	None
109	( - - ) tʃ i - - ( - - - )	22	tʃ i	Fire	Fire	None	Marubo	tʃi	tʃi	None
110	( - - ) tʃ i ʔ i ( - - - )	22	tʃ i ʔ i	Fire	Fire	None	Chacobo	tʃiʔi	tʃiʔi	None
111	( - - ) tʃ i ʔ i ( - - - )	22	tʃ i ʔ i	Fire	Fire	None	Kaxarari	tʃiʔi	tʃiʔi	None
112	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	Yaminawa	tʃii	tʃii	None
113	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	Chaninawa	tʃii	tʃii	None
114	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	Sharanawa	tʃii	tʃii	None
115	( - - - - - ) d a n ( - - - - - )	30	d a n	Knee	Knee	37	Proto-Pano-Takana	da-n	da-n	None
116	( - - - - - ) r a ∼ ( - - - - - )	30	r a ∼	Knee	Knee	37	Proto-Pano	rã-	rã-	None
117	( - - - - - ) r a ∼ ( β o ʂ - o )	30	r a ∼ β o ʂ o	Knee	Knee	37	Kakataibo	rãβoʂo	rãβoʂo	None
118	( - - - - - ) r a ∼ ( β o ʂ - o )	30	r a ∼ β o ʂ o	Knee	Knee	37	ShipiboKonibo	rãβoʂo	rãβoʂo	None
119	( - - - - - ) r a ∼ ( β o ʂ - o )	30	r a ∼ β o ʂ o	Knee	Knee	37	Kapanawa	rãβoʂo	rãβoʂo	None
120	( - - - - - ) r a - ( β u ʃ ɨ - )	30	r a β u ʃ ɨ	Knee	Knee	37	Marubo	ravuʃɨ	ravuʃɨ	None
121	( - - - - - ) tʃ a ∼ ( b u r - u )	30	tʃ a ∼ b u r u	Knee	Knee	37	Kaxarari	tʃãburu	tʃãburu	None
122	h e m i	4	h e m i	Blood	Blood	48	Proto-Pano-Takana	hemi	hemi	None
123	h i m i	4	h i m i	Blood	Blood	48	Proto-Pano	himi	himi	None
124	- i m i	4	i m i	Blood	Blood	48	Kakataibo	imi	imi	None
125	h i m i	4	h i m i	Blood	Blood	48	ShipiboKonibo	himi	himi	None
126	h i m i	4	h i m i	Blood	Blood	48	Kapanawa	himi	himi	None
127	- i m.b i	4	i m.b i	Blood	Blood	48	Marubo	imbi	imbi	/b/ as superscript bb
128	h i m i	4	h i m i	Blood	Blood	48	Chacobo	himi	himi	None
129	h i m i	4	h i m i	Blood	Blood	48	Kaxarari	himi	himi	None
130	- i m -	4	i m	Blood	Blood	48	Yaminawa	im	im	None
131	- i b i	4	i b i	Blood	Blood	48	Chaninawa	ibi	ibi	None
132	- i m i	4	i m i	Blood	Blood	48	Sharanawa	imi	imi	None
133	( a ) ʂ u ( - - )	6	a ʂ u	Breast	Breast	None	Proto-Pano-Takana	aṣu	aṣu	None
134	( - ) ʂ o ( - - )	6	ʂ o	Breast	Breast	None	Proto-Pano	ʂo	ʂo	None
135	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Kakataibo	ʂoma	ʂoma	None
136	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	ShipiboKonibo	ʂoma	ʂoma	None
137	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Kapanawa	ʂoma	ʂoma	None
138	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Marubo	ʂoma	ʂoma	None
139	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Chacobo	ʂoma	ʂoma	None
140	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Chaninawa	ʂoma	ʂoma	None
141	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Sharanawa	ʂoma	ʂoma	None
142	b a d i ( - - )	40	b a d i	Moon, Sun	Sun	16	Proto-Pano-Takana	badi	badi	None
143	β a r i ( - - )	40	β a r i	Moon, Sun	Sun	16	Proto-Pano	βari	βari	None
144	β a ɾ i ( - - )	40	β a ɾ i	Moon, Sun	Sun	16	Kakataibo	βaɾi	βaɾi	None
145	β a ɾ i ( - - )	40	β a ɾ i	Moon, Sun	Sun	16	ShipiboKonibo	βaɾi	βaɾi	None
146	β a ɾ i ( - - )	40	β a ɾ i	Moon, Sun	Sun	16	Kapanawa	βaɾi	βaɾi	None
147	β a ɾ i ( - - )	40	β a ɾ i	Moon, Sun	Sun	16	Marubo	vaɾi	vaɾi	None
148	β a ɾ i ( - - )	40	β a ɾ i	Moon, Sun	Sun	16	Chacobo	βaɾi	βaɾi	None
149	β a tʃ i ( - - )	40	β a tʃ i	Moon, Sun	Sun	16	Kaxarari	βatʃi	βatʃi	None
150	ɸ a ɾ i ( - - )	40	ɸ a ɾ i	Moon, Sun	Sun	16	Chaninawa	ɸaɾi	ɸaɾi	None
151	ɸ a r i ( - - )	40	ɸ a r i	Moon, Sun	Sun	16	Sharanawa	ɸari	ɸari	None
152	m i ( - - - - - )	47	m i	You	You	72	Proto-Pano-Takana	mi	mi	None
153	m i ( - - - - - )	47	m i	You	You	72	Proto-Pano	mi	mi	None
154	m !iː/i ( - - - - - )	47	m !iː/i	You	You	72	Kakataibo	miː	miː	None
155	m i ( - - a - - )	47	m i a	You	You	72	ShipiboKonibo	mia	mia	None
156	m i ( - - a - - )	47	m i a	You	You	72	Kapanawa	mia	mia	None
157	m i ( - - a - - )	47	m i a	You	You	72	Chacobo	mia	mia	object form
158	b ɨ	10	b ɨ	Come	Come	24	Proto-Pano-Takana	bɨ-	bɨ-	None
159	β ɨ	10	β ɨ	Come	Come	24	Proto-Pano	βɨ-	βɨ-	'come,bring'
160	β ɨ	10	β ɨ	Come	Come	24	Kakataibo	βɨ-	βɨ-	None
161	β ɨ	10	β ɨ	Come	Come	24	ShipiboKonibo	βɨ-	βɨ-	None
162	β ɨ	10	β ɨ	Come	Come	24	Kapanawa	βɨ-	βɨ-	None
163	β ɨ	10	β ɨ	Come	Come	24	Chacobo	βɨ-	βɨ-	None
164	b ɨ	10	b ɨ	Come	Come	24	Kaxarari	bɨ-	bɨ-	None
165	ɸ ɨ	10	ɸ ɨ	Come	Come	24	Yaminawa	ɸɨ-	ɸɨ-	None
166	ɸ ɨ	10	ɸ ɨ	Come	Come	24	Chaninawa	ɸɨ-	ɸɨ-	None
167	ɸ ɨ	10	ɸ ɨ	Come	Come	24	Sharanawa	ɸɨ-	ɸɨ-	None
168	ʔ ɨ ( - - - )	28	ʔ ɨ	I	I	11	Proto-Pano-Takana	ʔɨ	ʔɨ	None
169	ʔ ɨ ( - - - )	28	ʔ ɨ	I	I	11	Proto-Pano	ʔɨ	ʔɨ	None
170	ʔ ɨ ( - - - )	28	ʔ ɨ	I	I	11	Kakataibo	ʔɨ	ʔɨ	None
171	ʔ ɨ ( - - - )	28	ʔ ɨ	I	I	11	ShipiboKonibo	ʔɨ	ʔɨ	None
172	ʔ ɨ ( - - - )	28	ʔ ɨ	I	I	11	Kapanawa	ʔɨ	ʔɨ	None
173	- ɨ ( - - - )	28	ɨ	I	I	11	Chacobo	ɨ	ɨ	None
174	( - - ) !N/r a m i	23	!N/r a m i	Flesh	Flesh	78	Proto-Pano-Takana	Nami	Nami	None
175	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Proto-Pano	nami	nami	Additional cognates refering to body parts
176	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Kakataibo	nami	nami	None
177	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	ShipiboKonibo	nami	nami	None
178	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Kapanawa	nami	nami	None
179	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Marubo	nami	nami	None
180	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Chacobo	nami	nami	None
181	( - - ) l a m i	23	l a m i	Flesh	Flesh	78	Kaxarari	lami	lami	None
182	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Yaminawa	nami	nami,nãmi	None
183	( - - ) n a b i	23	n a b i	Flesh	Flesh	78	Chaninawa	nabi	nabi,dami	None
184	( - - ) n a m i	23	n a m i	Flesh	Flesh	78	Sharanawa	nami	nami,namin	None
185	( - - ) ʂ ɨ !N/r i	20	ʂ ɨ !N/r i	Fat	Fat	99	Proto-Pano-Takana	ʂɨNi	ʂɨNi	None
186	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Proto-Pano	ʂɨni	ʂɨni	None
187	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Kakataibo	ʂɨni	ʂɨni	None
188	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	ShipiboKonibo	ʂɨni	ʂɨni	None
189	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Kapanawa	ʂɨni	ʂɨni	None
190	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Marubo	ʂɨni	ʂɨni	None
191	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Chacobo	ʂɨni	ʂɨni	None
