ID	ALIGNMENT	COGID	TOKENS	CONCEPT	CONCEPTINSOURCE	SHELL	DOCULECT	FORM	VALUE	NOTE
192	( - - ) ʂ ɨ n !ĩ/i	20	ʂ ɨ n !ĩ/i	Fat	Fat	99	Yaminawa	ʂɨnĩ	ʂɨnĩ	None
193	( - - ) ʃ ɨ d i	20	ʃ ɨ d i	Fat	Fat	99	Chaninawa	ʃɨdi	ʃɨdi,ʃidi,ʂidi	None
194	( - - ) ʂ ɨ n i	20	ʂ ɨ n i	Fat	Fat	99	Sharanawa	ʂɨni	ʂɨni	None
195	( - - ) m ɨ - ( + ) ts i z i ( - - - - - )	21	m ɨ + ts i z i	Fingernail	Fingernail	None	Proto-Pano-Takana	mɨ-tsizi	mɨ-tsizi	None
196	( - - ) m ɨ !∼/n ( + ) ts i s i ( - - - - - )	21	m ɨ !∼/n + ts i s i	Fingernail	Fingernail	None	Proto-Pano	mɨ̃-tsisi	mɨ̃-tsis[i]	None
197	( - - ) - u n ( - ) ts i s - ( - - - - - )	21	u n ts i s	Fingernail	Fingernail	None	Kakataibo	Untsis	Untsis,untsɨs	None
198	( - - ) m !ɨ̃/ɨ n ( - ) ts i s - ( - - - - - )	21	m !ɨ̃/ɨ n ts i s	Fingernail	Fingernail	None	ShipiboKonibo	mɨ̃ntsis	mɨ̃ntsis,mɨ̃tsis	None
199	( - - ) m !ɨ̃/ɨ n ( - ) ts i s - ( - - - - - )	21	m !ɨ̃/ɨ n ts i s	Fingernail	Fingernail	None	Kapanawa	mɨ̃ntsis	mɨ̃ntsis	None
200	( - - ) m ɨ ∼ ( - ) ts i s i ( - - - - - )	21	m ɨ ∼ ts i s i	Fingernail	Fingernail	None	Marubo	mɨ̃tsisi	mɨ̃tsisi	None
201	( - - ) m ɨ ∼ ( - ) ts i s - ( - - - - - )	21	m ɨ ∼ ts i s	Fingernail	Fingernail	None	Chacobo	mɨ̃tsis	mɨ̃tsis,mɨ̃tsisi	None
202	( - - ) m ɨ ∼ ( - ) tʃ i s i ( - - - - - )	21	m ɨ ∼ tʃ i s i	Fingernail	Fingernail	None	Kaxarari	mɨ̃tʃisi	mɨ̃tʃisi	None
203	( - - ) m i - ( - ) ts i s - ( - - - - - )	21	m i ts i s	Fingernail	Fingernail	None	Yaminawa	mitsis	mitsis,mitsisi	None
204	( - - ) b i - ( - ) ts i s - ( - - - - - )	21	b i ts i s	Fingernail	Fingernail	None	Chaninawa	bitsis	bitsis(otsis)	None
205	( - - ) m ɨ - ( - ) ts i s i ( - - - - - )	21	m ɨ ts i s i	Fingernail	Fingernail	None	Sharanawa	mɨtsisi	mɨtsisi,otsisi	None
206	( - - - - ) t a ( - - - - - - - )	24	t a	Foot,leg	Foot,leg	103	Proto-Pano-Takana	ta-	ta-	None
207	( - - - - ) t a ( - - - - - - - )	24	t a	Foot,leg	Foot,leg	103	Proto-Pano	ta-	ta-	'foot'
208	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Kakataibo	taɨ	taɨ	None
209	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	ShipiboKonibo	taɨ	taɨ	None
210	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Kapanawa	taʔɨ	taʔɨ	None
211	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Marubo	taɨ	taɨ	None
212	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Chacobo	taʔɨ	taʔɨ	None
213	( - - - - ) t a ( ʔ ɨ - - - - - )	24	t a ʔ ɨ	Foot,leg	Foot,leg	103	Kaxarari	taʔɨ	taʔɨ	None
214	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Yaminawa	taɨ	taɨ,taɨ̃	None
215	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Chaninawa	taɨ	taɨ	None
216	( - - - - ) t a ( - ɨ - - - - - )	24	t a ɨ	Foot,leg	Foot,leg	103	Sharanawa	taɨ	taɨ,taɨn	None
217	( - - ) kʷ ɨ ( - - - - - - - - )	32	kʷ ɨ	Lip,edge	Lip,edge	59	Proto-Pano-Takana	kʷɨ	kʷɨ~kɨ-	None
218	( - - ) kʷ ɨ ( - - - - - - - - )	32	kʷ ɨ	Lip,edge	Lip,edge	59	Proto-Pano	kʷɨ-	kʷɨ-	None
219	( - - ) kʷ ɨ ( β i - - - - - - )	32	kʷ ɨ β i	Lip,edge	Lip,edge	59	Kakataibo	kʷɨβi-	kʷɨβi-	None
220	( - - ) k ɨ ( β i - - - - - - )	32	k ɨ β i	Lip,edge	Lip,edge	59	ShipiboKonibo	kɨβi-	kɨβi-	None
221	( - - ) k ɨ ( β i tʃ i - - - - )	32	k ɨ β i tʃ i	Lip,edge	Lip,edge	59	Chacobo	kɨβitʃi	kɨβitʃi	None
222	( - - ) k u ( ɸ i r i s i k a )	32	k u ɸ i r i s i k a	Lip,edge	Lip,edge	59	Sharanawa	kuɸirisika	kuɸirisika	None
223	( - - - - ) t a m u	9	t a m u	Cheek	Cheek	105	Proto-Pano-Takana	tamu	tamu	None
224	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Proto-Pano	tamo	tamo	None
225	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Kakataibo	tamo	tamo	None
226	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	ShipiboKonibo	tamo	tamo	None
227	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Kapanawa	tamo	tamo	None
228	( - - - - ) t a m.b o	9	t a m.b o	Cheek	Cheek	105	Marubo	tambo	tambo	/m/ as superscript
229	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Chacobo	tamo	tamo	None
230	( - - - - ) t a m u	9	t a m u	Cheek	Cheek	105	Kaxarari	tamu	tamu	None
231	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Yaminawa	tamo	tamo,tamõ	None
232	( - - - - ) t a m o	9	t a m o	Cheek	Cheek	105	Sharanawa	tamo	tamo,tamon	None
233	( - - ) kʷ e ʂ a ( - - )	35	kʷ e ʂ a	Mouth	Mouth	None	Proto-Pano-Takana	kʷeʂa	kʷeʂa	None
234	( - - ) kʷ ɨ ʂ a ( - - )	35	kʷ ɨ ʂ a	Mouth	Mouth	None	Proto-Pano	kʷɨʂa	kʷɨʂa[CV]	None
235	( - - ) kʷ ɨ ʂ a ( - - )	35	kʷ ɨ ʂ a	Mouth	Mouth	None	Kakataibo	kʷɨʂa	kʷɨʂa	None
236	( - - ) k ɨ ʂ a ( - - )	35	k ɨ ʂ a	Mouth	Mouth	None	ShipiboKonibo	kɨʂa	kɨʂa	None
237	( - - ) k ɨ ʂ a ( - - )	35	k ɨ ʂ a	Mouth	Mouth	None	Kapanawa	kɨʂa	kɨʂa	None
238	( - - ) k ɨ ʃ a ( - - )	35	k ɨ ʃ a	Mouth	Mouth	None	Marubo	kɨʃa	kɨʃa	None
239	( - - ) k ɨ ʂ a ( k a )	35	k ɨ ʂ a k a	Mouth	Mouth	None	Kaxarari	kɨʂaka	kɨʂaka	None
240	( - - ) k ɨ ʂ !ã/a ( - - )	35	k ɨ ʂ !ã/a	Mouth	Mouth	None	Yaminawa	kɨʂã	kɨʂã,kɨʂamã	None
241	( - - ) k ɨ ʃ a ( - - )	35	k ɨ ʃ a	Mouth	Mouth	None	Chaninawa	kɨʃa	kɨʃa,kɨʂa	None
242	( - - ) k ɨ ʂ a ( - - )	35	k ɨ ʂ a	Mouth	Mouth	None	Sharanawa	kɨʂa	kɨʂa,kɨʂan	None
243	( - - - - - - ) b a ( - ) ʂ u ( - - - - - )	19	b a ʂ u	Elbow	Elbow	None	Proto-Pano-Takana	baṣu	baṣu	None
244	( - - - - - - ) β a ( - ) ʂ u ( - - - - - )	19	β a ʂ u	Elbow	Elbow	None	Proto-Pano	βaʂ(u)-	βaʂ(u)-	None
245	( - - - b a n ) b u ( - ) x u ( - - - - - )	19	b a n b u x u	Elbow	Elbow	None	Kakataibo	banbuxu	banbuxu	None
246	( - - - - - - ) p !õ/o ( - ) t o ( - ∼ - k o )	19	p !õ/o t o ∼ k o	Elbow	Elbow	None	ShipiboKonibo	põtõko	põtõko	None
247	( - - - - - - ) b a ( - ) ʂ - ( p o ʂ k o )	19	b a ʂ p o ʂ k o	Elbow	Elbow	None	Kapanawa	baʂpoʂko	baʂpoʂko	None
248	( - - - - - - ) b a ( - ) s - ( p o - t o )	19	b a s p o t o	Elbow	Elbow	None	Chacobo	baspoto	baspoto	None
249	( - - - - - - ) p a ( - ) x u ( x u - - - )	19	p a x u x u	Elbow	Elbow	None	Kaxarari	paxuxu	paxuxu	None
250	( - - - - - - ) p o ( + ) t o ( - + ʃ k o )	19	p o + t o + ʃ k o	Elbow	Elbow	None	Yaminawa	po-to-ṣ̌ko	po-to-ṣ̌ko	None
251	- i w i ( - - )	45	i w i	Tree	Tree	47	Shanenawa	iwi	iwi	None
252	h i w i ( - - )	45	h i w i	Tree	Tree	47	Katukina	hiwi	hiwi	None
253	- i w i ( - - )	45	i w i	Tree	Tree	47	Poyanawa	iwi	iwi	None
254	h !iː/i - - ( - - )	45	h !iː/i	Tree	Tree	47	Amawaka	hiː	hiː	None
255	h i - - ( - - )	45	h i	Tree	Tree	47	Kaxinawa	hi	hi	None
256	- i w i ( - - )	45	i w i	Tree	Tree	47	Marinawa	iwi	iwi	None
257	- i w i ( - - )	45	i w i	Tree	Tree	47	Korubo	iwi	iwi	None
258	- i w i ( - - )	45	i w i	Tree	Tree	47	Matses	iwi	iwi	None
259	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Shanenawa	ʂɨta	ʂɨta	None
260	( - - ) ʂ i ( - t a )	44	ʂ i t a	Tooth	Tooth	96	Katukina	ʂita	ʂita	None
261	( - - ) x ɨ ( - t a )	44	x ɨ t a	Tooth	Tooth	96	Amawaka	xɨta	xɨta	None
262	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Kaxinawa	ʂɨta	ʂɨta	None
263	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Marinawa	ʂɨta	ʂɨta	None
264	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Yawanawa	ʂɨta	ʂɨta	None
265	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Korubo	ʂɨta	ʂɨta	None
266	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Matis	ʂɨta	ʂɨta	None
267	( - - ) ʂ ɨ ( - t a )	44	ʂ ɨ t a	Tooth	Tooth	96	Matses	ʂɨta	ʂɨta	None
268	( r a - ) f u - - ( - - - - )	46	r a f u	Two	Two	24	Shanenawa	rafu	rafu	None
269	( r a - ) β i - - ( - - - - )	46	r a β i	Two	Two	24	Katukina	raβi	raβi	None
270	( r a - ) β u - - ( - - - - )	46	r a β u	Two	Two	24	Poyanawa	raβu	raβu	None
271	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	Amawaka	raβɨ	raβɨ	None
272	( r a - ) ɸ ɨ - - ( - - - - )	46	r a ɸ ɨ	Two	Two	24	Marinawa	raɸɨ	raɸɨ	None
273	( r a - ) β ɨ - - ( - - - - )	46	r a β ɨ	Two	Two	24	Yawanawa	raβɨ	raβɨ	None
274	( ɬ a - ) β ɨ t - ( p a - - )	46	ɬ a β ɨ t p a	Two	Two	24	Korubo	ɬaβɨtpa	ɬaβɨtpa	None
275	( d a - ) b ɨ d - ( p a - - )	46	d a b ɨ d p a	Two	Two	24	Matis	dabɨdpa	dabɨdpa	None
276	( d a - ) - ɨ d - ( - - - - )	46	d a ɨ d	Two	Two	24	Matses	daɨd	daɨd	None
277	( - - ) t a k a	33	t a k a	Liver	Liver	104	Shanenawa	taka	taka	None
278	( - - ) t a k a	33	t a k a	Liver	Liver	104	Katukina	taka	taka	None
279	( - - ) t a k a	33	t a k a	Liver	Liver	104	Poyanawa	taka	taka	None
280	( - - ) t a k a	33	t a k a	Liver	Liver	104	Amawaka	taka	taka	None
281	( - - ) t a k a	33	t a k a	Liver	Liver	104	Kaxinawa	taka	taka	None
282	( - - ) t a k a	33	t a k a	Liver	Liver	104	Marinawa	taka	taka	None
283	( - - ) t a k a	33	t a k a	Liver	Liver	104	Yawanawa	taka	taka	None
284	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Korubo	takʷa	takʷa	None
285	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Matis	takua	takua	None
286	( - - ) t a kʷ a	33	t a kʷ a	Liver	Liver	104	Matses	takʷa	takʷa	None
287	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Shanenawa	pɨj	pɨj	None
288	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Katukina	pɨi	pɨi	None
289	( - - ) p u - i	31	p u i	Leaf,To fan	Leaf	None	Poyanawa	puy	puy	None
290	( - - ) p ɨ ʔ i	31	p ɨ ʔ i	Leaf,To fan	Leaf	None	Amawaka	pɨʔi	pɨʔi	None
291	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Kaxinawa	pɨi	pɨi	None
292	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Marinawa	pɨi	pɨi	None
293	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Yawanawa	pɨi	pɨi	None
294	( - - ) p ɨ - i	31	p ɨ i	Leaf,To fan	Leaf	None	Matis	pɨi	pɨi	None
295	( - - ) p ɨ - -	31	p ɨ	Leaf,To fan	Leaf	None	Matses	pɨ	pɨ	None
296	( - - - ) ʂ a ( - ) !w/o	5	ʂ a !w/o	Bone	Bone	93	Shanenawa	ʂaw	ʂaw	Shell (1975: 174, 398) and Oliveira (2014: 459, 398) reconstruct *ʂao. Kasharari presents the form ʂahu [ʂa'hwu] (Lanes 2005, in Oliveira 2014). For Matses/Mayoruna we consider as evidence the final consonant in mɨ-ʂ‘wrist bone’, taɨ-ʂ‘ankle bone’, and ʂomoʂ‘needle made of bone’ (Fleck et al. 2012).
297	( - - - ) ʃ a ( - ) u	5	ʃ a u	Bone	Bone	93	Katukina	ʃau	ʃau	None
298	( - - - ) h a ( - ) !w/u	5	h a !w/u	Bone	Bone	93	Poyanawa	haw	haw	None
299	( - - - ) x a ( - ) o	5	x a o	Bone	Bone	93	Amawaka	xao	xao	None
300	( - - - ) ʂ a ( - ) u	5	ʂ a u	Bone	Bone	93	Kaxinawa	ʂau	ʂau	None
301	( - - - ) ʂ a ( - ) o	5	ʂ a o	Bone	Bone	93	Marinawa	ʂao	ʂao	None
302	( - - - ) ʃ a ( - ) u	5	ʃ a u	Bone	Bone	93	Yawanawa	ʃau	ʃau	None
303	( m ɨ + ) ʂ - ( - ) -	5	m ɨ + ʂ	Bone	Bone	93	Matses	mɨ-ʂ	mɨ-ʂ,taɨ-ʂ,ʂomoʂ	'wrist bone','ankle bone','needle made of bone'
304	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Shanenawa	ana	ana	None
305	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Katukina	ana	ana	None
306	( - - - ) - a ∼.d ( - ) a	43	a ∼.d a	Tongue	Tongue	46	Poyanawa	ãda	ãda	None
307	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Amawaka	hana	hana	None
308	( - - - ) h a n ( - ) a	43	h a n a	Tongue	Tongue	46	Kaxinawa	hana	hana	None
309	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Marinawa	ana	ana	None
310	( - - - ) - a n ( n ) a	43	a n n a	Tongue	Tongue	46	Yawanawa	anna	anna	None
311	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Korubo	ana	ana	None
312	( - - - ) - a n ( - ) a	43	a n a	Tongue	Tongue	46	Matis	ana	ana	None
313	( - - ) m ɨ ( k ɨ ∼ - - - )	27	m ɨ k ɨ ∼	Hand	Hand	70	Amawaka	mɨkɨ̃	mɨkɨ̃	None
314	( - - ) m ɨ ( k ɨ ∼ - - - )	27	m ɨ k ɨ ∼	Hand	Hand	70	Kaxinawa	mɨkɨ̃	mɨkɨ̃	None
315	( - - ) m ɨ ( k ɨ - - - - )	27	m ɨ k ɨ	Hand	Hand	70	Marinawa	mɨkɨ	mɨkɨ	None
316	( - - ) m ɨ ( k ɨ n - - - )	27	m ɨ k ɨ n	Hand	Hand	70	Matis	mɨkɨn	mɨkɨn	None
317	( - - ) m ɨ ( d a n t e - )	27	m ɨ d a n t e	Hand	Hand	70	Matses	mɨdante	mɨdante	None
318	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Shanenawa	yamɨ	yamɨ	None
319	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Katukina	yamɨ	yamɨ	None
320	( - i a ) ∼.b u - - ( - - - - - )	37	i a ∼.b u	Night	Night	71	Poyanawa	iãvu	iãvu	None
321	( - j a ) m !ɨː/ɨ - - ( - - - - - )	37	j a m !ɨː/ɨ	Night	Night	71	Amawaka	yamɨː	yamɨː	None
322	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Kaxinawa	yamɨ	yamɨ	None
323	( - j a ) m ɨ - - ( - - - - - )	37	j a m ɨ	Night	Night	71	Marinawa	yamɨ	yamɨ	None
324	( - i a ) m ɨ - - ( - - - - - )	37	i a m ɨ	Night	Night	71	Yawanawa	iamɨ	iamɨ	None
325	( - - i ) m ɨ t - ( - - - - - )	37	i m ɨ t	Night	Night	71	Korubo	imɨt	imɨt	None
326	( - - i ) m ɨ d - ( - - - - - )	37	i m ɨ d	Night	Night	71	Matis	imɨd	imɨd	None
327	( - - ) f i tʃ i	39	f i tʃ i	Skin	Skin	22	Shanenawa	fitʃi	fitʃi	None
328	( - - ) b i tʃ i	39	b i tʃ i	Skin	Skin	22	Kaxinawa	bitʃi	bitʃi	None
329	( - - ) ɸ i tʃ i	39	ɸ i tʃ i	Skin	Skin	22	Marinawa	ɸitʃi	ɸitʃi	None
330	( - - ) β ɨ tʃ i	39	β ɨ tʃ i	Skin	Skin	22	Yawanawa	βɨtʃi	βɨtʃi	None
331	( - - ) b i ts i	39	b i ts i	Skin	Skin	22	Matis	bitsi	bitsi	None
332	( - - ) b i ts i	39	b i ts i	Skin	Skin	22	Matses	bitsi	bitsi	None
333	( - - ) tʃ i - - ( - - - )	22	tʃ i	Fire	Fire	None	Shanenawa	tʃi	tʃi	None
334	( - - ) tʃ i - i ( - - - )	22	tʃ i i	Fire	Fire	None	Katukina	tʃii	tʃii	None
335	( - - ) tʃ i ʔ i ( - - - )	22	tʃ i ʔ i	Fire	Fire	None	Amawaka	tʃiʔi	tʃiʔi	None
336	( - - ) tʃ i - - ( - - - )	22	tʃ i	Fire	Fire	None	Kaxinawa	tʃi	tʃi	None
337	( - - ) tʃ i - - ( - - - )	22	tʃ i	Fire	Fire	None	Marinawa	tʃi	tʃi	None
338	( - - ) tʃ i - - ( - - - )	22	tʃ i	Fire	Fire	None	Yawanawa	tʃi	tʃi	None
339	( - - - - - ) r a - ( β ɨ ʂ - o )	30	r a β ɨ ʂ o	Knee	Knee	37	Katukina	raβɨʂo	raβɨʂo	None
340	( - - - - - ) r a - ( w o x k o )	30	r a w o x k o	Knee	Knee	37	Amawaka	rawoxko	rawoxko	None
341	- i m i	4	i m i	Blood	Blood	48	Shanenawa	imi	imi	None
342	h i m i	4	h i m i	Blood	Blood	48	Katukina	himi	himi	None
343	- i b i	4	i b i	Blood	Blood	48	Poyanawa	ibi	ibi	None
344	h i m i	4	h i m i	Blood	Blood	48	Amawaka	himi	himi	None
345	h i m i	4	h i m i	Blood	Blood	48	Kaxinawa	himi	himi	None
346	- i m i	4	i m i	Blood	Blood	48	Marinawa	imi	imi	None
347	- i m i	4	i m i	Blood	Blood	48	Yawanawa	imi	imi	None
348	- i n.t a	4	i n.t a	Blood	Blood	48	Korubo	inta	inta	None
349	- i m i	4	i m i	Blood	Blood	48	Matis	imi	imi	None
350	- i m i	4	i m i	Blood	Blood	48	Matses	imi	imi	None
351	( - ) ʂ u ( m a )	6	ʂ u m a	Breast	Breast	None	Shanenawa	ʂuma	ʂuma	None
352	( - ) ʃ u ( m a )	6	ʃ u m a	Breast	Breast	None	Katukina	ʃuma	ʃuma	None
353	( - ) h u ( ∼.b a )	6	h u ∼.b a	Breast	Breast	None	Poyanawa	hũba	hũba	None
354	( - ) x o ( m a )	6	x o m a	Breast	Breast	None	Amawaka	xoma	xoma	None
355	( - ) ʂ u ( m a )	6	ʂ u m a	Breast	Breast	None	Kaxinawa	ʂuma	ʂuma	None
356	( - ) ʂ o ( m a )	6	ʂ o m a	Breast	Breast	None	Marinawa	ʂoma	ʂoma	None
357	( - ) ʃ u ( m a )	6	ʃ u m a	Breast	Breast	None	Yawanawa	ʃuma	ʃuma	None
358	( - ) ʂ u ( m a )	6	ʂ u m a	Breast	Breast	None	Korubo	ʂuma	ʂuma	None
359	( - ) ʂ u ( m a )	6	ʂ u m a	Breast	Breast	None	Matis	ʂuma	ʂuma	None
